epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,2.467662704455388,0.288961038961039,0.2274851614130827,2.047019968570118,0.35752979414951247,0.24748461849590134
2,1.962608721570314,0.3942486085343228,0.27967090199237327,1.8657549299372367,0.4528710725893825,0.308436437976252
3,1.7763315857230844,0.4946660482374768,0.373980539115244,1.9177321589522605,0.352112676056338,0.30473147053664235
4,1.730992595649606,0.5201762523191095,0.38854209154278935,1.7334393819517588,0.3781148429035753,0.3488061762946275
5,1.6238621809486997,0.5320037105751392,0.4141079525205526,1.537963670098252,0.5568797399783315,0.4107319740797337
6,1.5824554143456226,0.5524118738404453,0.4270471872101697,1.5095812894670315,0.5460455037919827,0.40863336758133
7,1.5360175932935527,0.5686456400742115,0.4400676133154662,1.9669055484098061,0.4387865655471289,0.3374656763837512
8,1.5121566444248349,0.5802411873840445,0.4530302121150878,1.4495693100364082,0.6359696641386782,0.4852153667500107
9,1.5083463065920601,0.5929962894248608,0.46695455851427026,1.4024112836769576,0.6608884073672806,0.5143758490782385
10,1.4501337388008557,0.5960111317254174,0.484716526280889,1.4536918855049241,0.6489707475622969,0.5049784832816636
