epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,3.4382507041040804,0.10964041473637767,0.07196890713680511,2.7632968963481614,0.21421215242018538,0.14676463153365996
2,2.7181507775832454,0.18795499669093316,0.14440847715741362,2.5125995797060052,0.223480947476828,0.17746374024873432
3,2.506609041433631,0.22038385175380543,0.1858041902883442,2.2238587994285766,0.3038105046343975,0.2686890293941794
4,2.3378532530849614,0.25170968453562764,0.2196787002529225,2.499759469292559,0.2780638516992791,0.2511431563626297
5,2.2059375371939294,0.2753143613500993,0.24586560566173069,1.9356801209071637,0.3717816683831102,0.37110603965424
6,2.0880304373785963,0.300242664901831,0.27182424465293226,1.8416099619546216,0.3861997940267765,0.40115262876921415
7,1.9714477379906397,0.31744981248621224,0.2926389687385597,2.026722743754284,0.364572605561277,0.37560820827581737
8,1.9099218549776782,0.3218619016104125,0.30660673793917204,1.7889054845462253,0.3820803295571576,0.36406728930397614
9,1.7944106184670974,0.36068828590337526,0.33909618805792197,1.7070732809119809,0.43975283213182287,0.43723219502231686
10,1.7687620426050064,0.36046768144716523,0.34756107765450117,1.6402639870049411,0.46961894953656025,0.4475172058196894
